"","ps_id","const230_h","c230_id_h","fid0725","npp2008ps_pres_p","ndc2008ps_pres_p","totalvotes2008ps_pres","akan_p","akan_p_poly","ewe_p_poly","moledagbon_p_poly","gadangbe_p_poly","guan_p_poly","gurma_p_poly","mande_p_poly","other_eth_p_poly","grusi_p_poly","otherethn_p_poly","english_percent","public_semipublic_p","dev_factor2","akan_30km_l_p","ewe_30km_l_p","akan_30km_lalt_p","akan_20km_l_p","ewe_20km_l_p","akan_40km_l_p","ewe_40km_l_p","h_30rad_e","ethfrac_30km_l","ethfrac_poly","area_sqkm","sex_total"
"1462",11462,"TECHIMAN NORTH",222,9516,0.2125,0.725,240,0.6701517,0.099631,0,0.8191882,0.00369,0.0055351,0.0092251,0.0276753,0.001845,0.0332103,0.0774907749077491,0.2711267,0.0126582,-0.0344681,0.6098665,0.0101915,0.624456,0.6082187,0.0111919,0.6100695,0.010036,0.0301344,0.5483021,0.3170028,14.19778,561
"1463",11463,"TECHIMAN NORTH",222,10088,0.4170403,0.5426009,446,0.6701517,0.9003437,0,0.0927835,0,0.0017182,0.0017182,0,0,0.0034364,0.00687285223367698,0.4615385,0.0436242,-0.4825754,0.6898634,0.0117875,0.6826446,0.7206166,0.0119699,0.6776298,0.011265,0.0407668,0.479297,0.1807548,0.550733,583
"1464",11464,"TECHIMAN NORTH",222,696,0.5337244,0.4369501,341,0.6701517,0.920738,0.0006833,0.0597882,0.0099078,0.0040998,0,0.0003416,0,0.0044414,0.00888281516911514,0.6073718,0.0432432,1.052655,0.7306393,0.009905,0.7082951,0.7502678,0.0098795,0.7240703,0.0106021,0.0328065,0.4334741,0.1485317,0.433651,3045
"1465",11465,"TECHIMAN NORTH",222,530,0.4680851,0.4680851,94,0.6701517,0.9466711,0.0009937,0.0374296,0.0029811,0.0023186,0,0.0049685,0.0003312,0.0043061,0.0119244783040742,0.6617647,0.0699728,1.691481,0.7220613,0.0098786,0.6972187,0.7355523,0.0098937,0.713872,0.0100766,0.0266739,0.4429164,0.1023543,1.513633,3102
"1466",11466,"TECHIMAN NORTH",222,10106,0.385214,0.5719844,257,0.6701517,0.7153465,0,0.2351485,0.0024752,0.0173267,0,0.0148515,0,0.0148515,0.047029702970297,0.5020243,0.0140187,-0.4406254,0.6730982,0.0110434,0.6713408,0.703609,0.0117237,0.6719642,0.0116459,0.0342315,0.4941393,0.432237,0.843539,413
"1467",11467,"TECHIMAN NORTH",222,685,0.3044444,0.6688889,450,0.6701517,0.8342378,0.0031574,0.1024174,0.0059201,0.0057227,0.0132215,0.0078934,0.0028614,0.0245683,0.0542673902318698,0.4603904,0.0354292,4.271012,0.7365311,0.0082172,0.7103977,0.742245,0.0077084,0.725748,0.0087776,0.027459,0.4276741,0.2926313,6.215094,10409
"1468",11468,"TECHIMAN NORTH",222,688,0.5398773,0.4294479,326,0.6701517,0.872885,0.0021692,0.1110629,0.0073753,0,0.0004338,0.0013015,0.0004338,0.0043384,0.00650759219088937,0.5051265,0.0196239,1.567513,0.7076924,0.0106392,0.6940381,0.7203434,0.0110094,0.7002211,0.0114312,0.0302547,0.4604367,0.2256568,1.422759,2361
"1469",11469,"TECHIMAN NORTH",222,530,0.6330275,0.3211009,327,0.6701517,0.9466711,0.0009937,0.0374296,0.0029811,0.0023186,0,0.0049685,0.0003312,0.0043061,0.0119244783040742,0.6617647,0.0699728,1.691481,0.7220613,0.0098786,0.6972187,0.7355523,0.0098937,0.713872,0.0100766,0.0266739,0.4429164,0.1023543,1.513633,3102
"1470",11470,"TECHIMAN NORTH",222,9590,0.5079365,0.4285714,126,0.6701517,0.9354839,0,0.0573477,0,0,0.0017921,0.0035842,0,0.0017921,0.00716845878136201,0.6084142,0.0314685,1.483219,0.6786305,0.0129501,0.6750843,0.6796079,0.0131951,0.6743345,0.0133577,0.0300594,0.498242,0.1215619,0.363113,563
"1471",11471,"TECHIMAN NORTH",222,680,0.4415888,0.5093458,428,0.6701517,0.6083953,0.0005313,0.3411265,0.0058448,0.0037194,0.0026567,0.0021254,0.0058448,0.0297556,0.0441020191285866,0.4541485,0.0284302,0.6343579,0.657028,0.0086847,0.6610411,0.6462412,0.0085479,0.6436155,0.009347,0.025727,0.5090888,0.5125085,1.920577,1966
